,original_language,original_title,popularity,title,vote_average,vote_count
208,en,The Big Lebowski,32.133,The Big Lebowski,7.841,10455
209,ja,東京物語,19.383,Tokyo Story,8.181,931
210,en,Ratatouille,105.435,Ratatouille,7.8,15834
211,en,Rocky,64.722,Rocky,7.787,7209
212,en,Hotel Rwanda,19.205,Hotel Rwanda,7.719,2646
213,en,Logan,71.003,Logan,7.818,18201
214,fr,La Passion de Jeanne d'Arc,16.017,The Passion of Joan of Arc,8.029,831
215,en,Spotlight,27.791,Spotlight,7.815,7813
216,en,Platoon,36.875,Platoon,7.745,4127
217,en,The Terminator,61.917,The Terminator,7.648,11970
218,ta,ஜெய் பீம்,9.373,Jai Bhim,7.394,108
219,en,Before Sunset,19.519,Before Sunset,7.821,3103
220,en,Rush,31.964,Rush,7.71,6640
221,en,Network,21.0,Network,7.822,1531
222,en,The Exorcist,106.922,The Exorcist,7.723,7395
223,en,The Best Years of Our Lives,16.692,The Best Years of Our Lives,7.794,577
224,ja,STAND BY ME ドラえもん,81.264,Stand by Me Doraemon,7.31,478
225,fr,La Haine,21.824,La Haine,8.086,3643
226,en,The Wizard of Oz,52.436,The Wizard of Oz,7.574,5147
227,en,Pirates of the Caribbean: The Curse of the Black Pearl,104.537,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,19348
228,en,The Incredibles,75.156,The Incredibles,7.703,16685
229,en,Into the Wild,29.153,Into the Wild,7.808,9070
230,tr,Babam ve Oğlum,9.199,My Father and My Son,7.525,282
231,en,To Be or Not to Be,10.72,To Be or Not to Be,6.759,189
232,en,Hachi: A Dog's Tale,36.193,Hachi: A Dog's Tale,8.008,6269
233,ko,아가씨,94.657,The Handmaiden,8.243,3342
234,en,The Grapes of Wrath,13.693,The Grapes of Wrath,7.819,878
235,it,La battaglia di Algeri,14.561,The Battle of Algiers,7.908,661
236,en,Groundhog Day,27.666,Groundhog Day,7.608,7322
237,es,Amores perros,25.114,Amores Perros,7.623,2361
238,en,Rebecca,19.99,Rebecca,7.908,1599
239,en,The Sound of Music,26.578,The Sound of Music,7.703,3004
